担当者,アーティスト,曲名（optional）,URL,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,ジャンル
渡邊,Hump Back,生きて行く,https://open.spotify.com/intl-ja/track/018YNUDE3PLlfPe8eUy1od?si=4e210d3a80a54919,Happy/Excited,Relax/Chill,Tired/Sad,Relax/Chill,失恋ソング
渡邊,Hump Back,悲しみのそばに,https://open.spotify.com/intl-ja/track/7v6DqVMaljJDUXYavMY4kf?si=a74170dfa641432c,Relax/Chill,Angry/Frustrated,Relax/Chill,Relax/Chill,メッセージソング
渡邊,sim,The Rumbling,https://open.spotify.com/intl-ja/track/37rmYz2vSbsWX8FHdhJlrl?si=d790627a5a4a45f4,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,メッセージソング
渡邊,sim,KiLLiNG ME,https://open.spotify.com/intl-ja/track/1yDYJ7npSt07XLLOKGVkd6?si=9fd312c54450418e,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,メッセージソング
渡邊,sim,Blah Blah Blah,https://open.spotify.com/intl-ja/track/71mE84b1tlwHSEQIYWOsjt?si=bb97168f837a4683,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,パーティーソング
渡邊,04 Limited Sazabys,RED,https://open.spotify.com/intl-ja/track/6k1folNNtKeEGTl5WfDBeE?si=be4adf8f23b4481b,Happy/Excited,Happy/Excited,Angry/Frustrated,Happy/Excited,パーティーソング
渡邊,04 Limited Sazabys,swim,https://open.spotify.com/intl-ja/track/4fT8isC75wJe9CCsJdnNdI?si=9e72338c0665463f,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,メッセージソング
渡邊,04 Limited Sazabys,soup,https://open.spotify.com/intl-ja/track/5OcSLydaartKBiaYPsM9u1?si=c3bb5f8bb9f6415e,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
渡邊,04 Limited Sazabys,Squall,https://open.spotify.com/intl-ja/track/0E35DSYyMwlhySsuo9TxZJ?si=207e377672ec4483,Happy/Excited,Tired/Sad,Tired/Sad,Happy/Excited,メッセージソング
渡邊,04 Limited Sazabys,Horizon,https://open.spotify.com/intl-ja/track/2QWyALcWJChOa4tKXym9z6?si=9441fcb764654a89,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,その他
渡邊,04 Limited Sazabys,Letter,https://open.spotify.com/intl-ja/track/0D6puF7jCtZErT0hBAAeop?si=06918c65c9c74d98,Happy/Excited,Relax/Chill,Tired/Sad,Happy/Excited,失恋ソング
渡邊,04 Limited Sazabys,monolith,https://open.spotify.com/intl-ja/track/2f73JwOQWW8HZFCSs5LcrQ?si=39c3b01191e24d9e,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,メッセージソング
渡邊,04 Limited Sazabys,My HERO,https://open.spotify.com/intl-ja/track/6PT6Vx6HQQFNeeUc4tnlHH?si=49dd0b1a30154305,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,メッセージソング
渡邊,04 Limited Sazabys,Keep going,https://open.spotify.com/intl-ja/track/22CL32a9QBbkKeCxmV77wL?si=ece072be42624372,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,メッセージソング
渡邊,People1,DOGLAND,https://open.spotify.com/intl-ja/track/1ANIfdH1Xa395q4govgp9g?si=8bd69b1897b54e6c,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,メッセージソング
渡邊,People1,常夜燈,https://open.spotify.com/intl-ja/track/3VOFoXifvQGUe4AbxEfjCU?si=cadfbb18a8734d4e,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,メッセージソング
渡邊,People1,怪獣,https://open.spotify.com/intl-ja/track/5ECLAcvtGoWJBojHEscwop?si=26df0b79441a4b29,Happy/Excited,Tired/Sad,Tired/Sad,Happy/Excited,鬱ソング
渡邊,People1,銃の部品,https://open.spotify.com/intl-ja/track/5GEJu09IzUFPxVqydf0BSs?si=17cd35c094194889,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
渡邊,People1,鈴々,https://open.spotify.com/intl-ja/track/6IfLdaA77asZvofXazYibP?si=338f20185b1248bb,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
渡邊,People1,113号室,https://open.spotify.com/intl-ja/track/7BYqyyKhUBhtKG0e8eiiUv?si=a376f1f6529e4908,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,鬱ソング
渡邊,People1,ハートブレイク・ダンスミュージック,https://open.spotify.com/intl-ja/track/1HfT1AF5VNwMLDHf6A0Vwi?si=25115d30f9b54f32,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
渡邊,日食なつこ,水流のロック,https://open.spotify.com/intl-ja/track/5OQIvZoUPvfQq02tITKjQZ?si=ce94d18277a34a50,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,メッセージソング
渡邊,日食なつこ,エピゴウネ,https://open.spotify.com/intl-ja/track/52TdLwiXsS9EcJ0r9cdkFn?si=8a0381148dc54a18,Relax/Chill,Angry/Frustrated,Tired/Sad,Relax/Chill,鬱ソング
渡邊,日食なつこ,真夏のダイナソー,https://open.spotify.com/intl-ja/track/2xNhg9reDgFqsILgsVfhQi?si=e471d2f5c9b84285,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,パーティーソング
渡邊,日食なつこ,meridian,https://open.spotify.com/intl-ja/track/6ijZLF1xX8IKOpRtGnYuxu?si=8c921b3f6cb5465a,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,鬱ソング
渡邊,日食なつこ,うつろぶね,https://open.spotify.com/intl-ja/track/0E9OqFSi4qKqfbRyzFqEul?si=ae08d58b6e50460d,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,その他
渡邊,日食なつこ,√-1,https://open.spotify.com/intl-ja/track/7kBXeppBRSa8YVGCg6Uq3k?si=cf2490cf508247fc,Happy/Excited,Relax/Chill,Tired/Sad,Relax/Chill,鬱ソング
渡邊,日食なつこ,ヒューマン,https://open.spotify.com/intl-ja/track/0HJrtC5JYlzvbMCv0QP5eB?si=a564ba5a229c49b9,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,メッセージソング
渡邊,Clean Bandit,Symphony (feat. Zara Larsson),https://open.spotify.com/intl-ja/track/72gv4zhNvRVdQA0eOenCal?si=05c232d48f3c4ded,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,失恋ソング
渡邊,Clean Bandit,Rather Be (feat. Jess Glynne),https://open.spotify.com/intl-ja/track/61dCUoMCg28qEBzrW6htYM?si=1b700ddbcf034551,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
渡邊,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/intl-ja/track/2hrUO4drrO63i7FYbCLBl2?si=e2cbceba594c4f4b,Happy/Excited,Relax/Chill,Tired/Sad,Relax/Chill,メッセージソング
渡邊,Clean Bandit,Solo (feat. Demi Lovato),https://open.spotify.com/intl-ja/track/3NuK5xMlSlB6K2Qp16zf3h?si=0e55f2ffbf644428,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,その他
渡邊,Kroi,Sesame,https://open.spotify.com/intl-ja/track/3qjzdbIB776yoZPsHib9BG?si=ccff18a820b14abd,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
渡邊,Kroi,Balmy Life,https://open.spotify.com/intl-ja/track/3qjzdbIB776yoZPsHib9BG?si=4060b5036e5747b7,Happy/Excited,Relax/Chill,Tired/Sad,Relax/Chill,その他
渡邊,Kroi,Hyper,https://open.spotify.com/intl-ja/track/2gjcKUENc1b3CkBEWjSL1E?si=1632d3e9800c42f4,Relax/Chill,Angry/Frustrated,Tired/Sad,Relax/Chill,パーティーソング
渡邊,Kroi,熱海,https://open.spotify.com/intl-ja/track/0s6mBYmLTyuvWQss0wvtAC?si=f0e700229cd847e6,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,パーティーソング
渡邊,Kroi,Fire Brain,https://open.spotify.com/intl-ja/track/6xQlyfluHpsywky6j6VXDl?si=e0632cfd360b4534,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,その他
渡邊,Kroi,Juden,https://open.spotify.com/intl-ja/track/2fE89gnFiXfg9mexV6aN6L?si=c17781a3e81c4362,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,パーティーソング
渡邊,aespa,Whiplash,https://open.spotify.com/intl-ja/track/7Cnpb1vBbC46RgVyyKLH7p?si=5e68f6c609634af0,Happy/Excited,Happy/Excited,Happy/Excited,Relax/Chill,パーティーソング
渡邊,aespa,Supernova,https://open.spotify.com/intl-ja/track/2JhbSmNAyM9kYiqwa8Tpla?si=34a13957dae64fd3,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,パーティーソング
渡邊,aespa,Armageddon,https://open.spotify.com/intl-ja/track/6lAvyeD3Nq43AjyCxZQj54?si=73516298d0554eb3,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,その他
渡邊,aespa,Drama,https://open.spotify.com/intl-ja/track/5XWlyfo0kZ8LF7VSyfS4Ew?si=50674f72a0aa4ad3,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
渡邊,aespa,Savage,https://open.spotify.com/intl-ja/track/3dbLT62Cvs46Ju7a8gpr36?si=4929012536194992,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,応援ソング
渡邊,aespa,Next Level,https://open.spotify.com/intl-ja/track/2zrhoHlFKxFTRF5aMyxMoQ?si=2b1d61e58eef40aa,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
渡邊,aespa,Dirty Work,https://open.spotify.com/intl-ja/track/1ic3Thr0mG0IsBE98pPcQ2?si=cca59575311b4493,Relax/Chill,Angry/Frustrated,Tired/Sad,Relax/Chill,メッセージソング
渡邊,aespa,Black Mamba,https://open.spotify.com/intl-ja/track/1t2qYCAjUAoGfeFeoBlK51?si=1dbc80f9e70442c8,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング
渡邊,aespa,Girls,https://open.spotify.com/intl-ja/track/2WTHLEVjfefbGoW7F3dXIg?si=78066c16ce64435c,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,メッセージソング
渡邊,ヨルシカ,ただ君に晴れ,https://open.spotify.com/intl-ja/track/3wJHCry960drNlAUGrJLmz?si=a91550e117764555,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,メッセージソング
渡邊,ヨルシカ,だから僕は音楽を辞めた,https://open.spotify.com/intl-ja/track/5j7ixaLeGTGSv4DzKs0pCM?si=4e11c58fe3304397,Happy/Excited,Tired/Sad,Tired/Sad,Tired/Sad,鬱ソング
渡邊,ヨルシカ,春泥棒,https://open.spotify.com/intl-ja/track/1rr2DJOxV0sHXeUXCAz1yf?si=93a7775f61df4847,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,その他
渡邊,ヨルシカ,言って。,https://open.spotify.com/intl-ja/track/6z1TvLTR0oOsWSJfDrERmj?si=178c04254c4f4f91,Happy/Excited,Happy/Excited,Tired/Sad,Relax/Chill,鬱ソング
渡邊,ヨルシカ,花に亡霊,https://open.spotify.com/intl-ja/track/3FUqp10RhCmMjyyB9extmo?si=74b8fd41d2da4ccb,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,鬱ソング
渡邊,ヨルシカ,ヒッチコック,https://open.spotify.com/intl-ja/track/153lRbNmhQZVi69kbhmjY8?si=a682f22af0484569,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,鬱ソング
渡邊,ヨルシカ,藍二乗,https://open.spotify.com/intl-ja/track/5XApCrSTIAPapBPT1Vo4SZ?si=ce26dc32f2904400,Happy/Excited,Relax/Chill,Tired/Sad,Relax/Chill,その他
渡邊,ヨルシカ,晴る,https://open.spotify.com/intl-ja/track/5eY7692tmgHB9dbmq6wa2M?si=020749632d984d30,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
渡邊,中田ヤスタカ,NANIMONO (feat. 米津玄師),https://open.spotify.com/intl-ja/track/5uodb4Kj8xSuxurunWcbPJ?si=194759a208da41a8,Happy/Excited,Relax/Chill,Tired/Sad,Relax/Chill,パーティーソング
渡邊,SUPER BEAVER,人として,https://open.spotify.com/intl-ja/track/5sCLe2F8qkAIUtTORsnjpE?si=a68953afd59a404d,Tired/Sad,Tired/Sad,Tired/Sad,Tired/Sad,メッセージソング
渡邊,SUPER BEAVER,名前を呼ぶよ,https://open.spotify.com/intl-ja/track/61tkY9HqmsQ5Apirrp3cHL?si=67c33d9535194153,Happy/Excited,Tired/Sad,Tired/Sad,Happy/Excited,鬱ソング
渡邊,SUPER BEAVER,ひたむき,https://open.spotify.com/intl-ja/track/4Jp91ygcS0CBz8MwtvoBrU?si=882c3a3b82cb4220,Happy/Excited,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング
渡邊,SUPER BEAVER,儚くない,https://open.spotify.com/intl-ja/track/6r9PqkoTY0Eo3gABLgjA0Q?si=70bd05de4cc8484d,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,メッセージソング
渡邊,SUPER BEAVER,小さな革命,https://open.spotify.com/intl-ja/track/7aiTDFqOPn2U495quOxRUt?si=a2bd00c09b114571,Happy/Excited,Tired/Sad,Tired/Sad,Happy/Excited,メッセージソング
渡邊,SUPER BEAVER,突破口,https://open.spotify.com/intl-ja/track/2JNl3zf7dLaK3ceN12RTOW?si=965590af27ca41ba,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング
渡邊,SUPER BEAVER,グラデーション,https://open.spotify.com/intl-ja/track/79z4gwvetIY6Du3qx9fyPF?si=aafea1eb746d4e8b,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,メッセージソング
渡邊,SUPER BEAVER,予感,https://open.spotify.com/intl-ja/track/2CzPCgj02ZAf6iugJoc9G0?si=9ec614a433de4a28,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,メッセージソング
渡邊,SUPER BEAVER,秘密,https://open.spotify.com/intl-ja/track/2iD1TNtrChmLYP7bvnOV82?si=bd88be9680c74f3d,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,応援ソング
渡邊,ハルカミライ,カントリーロード,https://open.spotify.com/intl-ja/track/5XWFvZ6OBAqi4wFtEMvVPe?si=b3a1b40f55b14607,Happy/Excited,Relax/Chill,Tired/Sad,Relax/Chill,その他
渡邊,ハルカミライ,ファイト!!,https://open.spotify.com/intl-ja/track/7KRZbpomYeXCwDOvhdHmBb?si=4aecfcb6fc8d4cb8,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,応援ソング
渡邊,フレデリック,オドループ,https://open.spotify.com/intl-ja/track/70deSMfvYqELhxcTnOlvuW?si=0f952494cf624409,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
渡邊,フレデリック,オンリーワンダー,https://open.spotify.com/intl-ja/track/3HZ0BwTVMck7plmA4HbeFr?si=3f550919cf9548ba,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,応援ソング
渡邊,MOROHA,革命,https://open.spotify.com/intl-ja/track/5mjkeVu24NbkHeX8zt7muo?si=7f280284f17643fb,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
渡邊,藤井 風,きらり,https://open.spotify.com/intl-ja/track/51oc6MEsXTpnPn6GOw5VuP?si=1b999bad54be4fe6,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,その他
渡邊,藤井 風,死ぬのがいいわ,https://open.spotify.com/intl-ja/track/0HYAsQwJIO6FLqpyTeD3l6?si=a4c07b2e1ffe468b,Tired/Sad,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング
渡邊,THE ORAL CIGARETTES,BLACK MEMORY,https://open.spotify.com/intl-ja/track/7qyOH3EMf0seof9SaowaAc?si=e9a62e3bc7484d43,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,メッセージソング
Yifan,The Libertines,Ca,https://open.spotify.com/intl-ja/track/2EtZFeLn9msgg4qJzT9Vql?si=d9d8c28ad8b04432,Happy/Excited,Relax/Chill,Happy/Excited,Happy/Excited,恋愛ソング
Yifan,The Libertines,Katie,https://open.spotify.com/intl-ja/track/4ujUbvyGtlXFuGzCPwp8At?si=8f0a6914bd4b4be5,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,恋愛ソング
Yifan,The Libertines,Shy,https://open.spotify.com/intl-ja/track/4KDNDKlwdztIlqkAwgzoMB?si=b55a68e4c3cd4e61,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,恋愛ソング
Yifan,The Libertines,Hero,https://open.spotify.com/intl-ja/track/7qBoTFYBkS2bpw2PdAQA1z?si=174524f0b95c4ba6,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
Yifan,The Libertines,braket,https://open.spotify.com/intl-ja/track/4R2NUmAPA2Pt1KBS23ZXKC?si=5f17add2456e43ca,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,メッセージソング
Yifan,The Libertines,never,https://open.spotify.com/intl-ja/track/7ErnN44J8buJL7f6EVsuFn?si=1cd1a625bded45ff,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,恋愛ソング
Yifan,The Libertines,waterloo,https://open.spotify.com/intl-ja/track/4L6IT0n8Qgcq5gF5hw0Asu?si=8ed7bb554f4c4362,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
Yifan,The Libertines,Iceman,https://open.spotify.com/intl-ja/track/4jaSnVHqGEbZrLrgAzsfxm?si=36dd18b9bad14b07,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
Yifan,The Libertines,Dead,https://open.spotify.com/intl-ja/track/52XTRaKbhUpioV6JfT2zPM?si=8c4dc9cbf35a4d5b,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
Yifan,The Libertines,music,https://open.spotify.com/intl-ja/track/3cU9b4vb5yzyM12RXJ1k3s?si=d2db62f5b62e4649,Relax/Chill,Tired/Sad,Relax/Chill,Relax/Chill,メッセージソング
Yifan,The Libertines,lust,https://open.spotify.com/intl-ja/track/681IStb6W1wvpr5XVqe9mP?si=895fc73cd7314fa9,Happy/Excited,Angry/Frustrated,Tired/Sad,Tired/Sad,メッセージソング
Yifan,The Libertines,bar,https://open.spotify.com/intl-ja/track/72KQwej4REgX5AOU958YAO?si=6b2ea1aa9c814333,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,メッセージソング
Yifan,JAMC,honey,https://open.spotify.com/intl-ja/track/1LwP9g1Hjbs64jXM2Qsxry?si=9c7ad9c439e84b90,Happy/Excited,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング
Yifan,JAMC,april,https://open.spotify.com/intl-ja/track/7hs0Q5T9oyYMuGg4EQZenj?si=28166587ecaf4cd8,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング
Yifan,JAMC,always,https://open.spotify.com/intl-ja/track/16vuZiAS0YQkQvAkRtI2d3?si=a090225d8428478c,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,恋愛ソング
Yifan,JAMC,head,https://open.spotify.com/intl-ja/track/7ovOXoXhWyJleZfOfsANyp?si=ab79e9d6d2b949b7,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,その他
Yifan,JAMC,rains,https://open.spotify.com/intl-ja/track/325ipyWkzIGakH2DJgDlOT?si=92142678415f47aa,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,恋愛ソング
Yifan,JAMC,dark,https://open.spotify.com/intl-ja/track/7r1i1TZUGZQDxR5QHX4Mmx?si=f4b8f6d12c8045f8,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,恋愛ソング
Yifan,JAMC,about,https://open.spotify.com/intl-ja/track/7ayocCarXTz9sUTXAH7cgO?si=8bf3b49cb7b64294,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,恋愛ソング
Yifan,JAMC,deep,https://open.spotify.com/intl-ja/track/3D6ascwycdlxQ17H6PtfTa?si=959e230116d546b5,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,鬱ソング
Yifan,JAMC,alice,https://open.spotify.com/intl-ja/track/7yHyxjdYOWi78Oq5pA7KPh?si=f8d69ce93b244903,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
Yifan,JAMC,understand,https://open.spotify.com/intl-ja/track/6ej8EFrgYq86kPfFti4VfX?si=aecd393ac58840b6,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,その他
Yifan,JAMC,seed,https://open.spotify.com/intl-ja/track/4NZnRj4cDC2iCjeHyOEZV1?si=961a2750328944b6,Happy/Excited,Relax/Chill,Tired/Sad,Relax/Chill,その他
Yifan,JAMC,underground,https://open.spotify.com/intl-ja/track/3JCCl6T9mWGIzdM1ZI9fQX?si=39f691de594d40bb,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,その他
Yifan,JAMC,wall,https://open.spotify.com/intl-ja/track/31vA9WpBb1DQAP899kumlQ?si=693c8660778c4d9f,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
Yifan,JAMC,talking,https://open.spotify.com/intl-ja/track/6zwg7gXiJJh7LlAtsmRwTF?si=e5e1780c7c8c4727,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,恋愛ソング
Yifan,JAMC,place,https://open.spotify.com/intl-ja/track/2lK2tSydPFMJpClaQtEdrA?si=6615d8d8d9ff4bbe,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,恋愛ソング
Yifan,Beth Gibbons,moment,https://open.spotify.com/intl-ja/track/1tB6SUQaXIUU4CprvNPwsT?si=29b23aee1ef44625,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,その他
Yifan,Beth Gibbons,resolve,https://open.spotify.com/track/6Eh27I8fV61LyULGdnxL9r?si=0a43bb14833f4f73,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,鬱ソング
Yifan,Beth Gibbons,life,https://open.spotify.com/track/4nqZIOgiliWDxEhOResTub?si=aaffc7f409014e53,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,鬱ソング
Yifan,Beth Gibbons,ocean,https://open.spotify.com/track/71HmvPRopmWuTYCBYH7PRv?si=d845dd017db74772,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,鬱ソング
Yifan,Beth Gibbons,reach,https://open.spotify.com/track/6SF8YKvzCFxHuT9MzNzQPf?si=e72e688dda3f41be,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,鬱ソング
Yifan,Beth Gibbons,spider,https://open.spotify.com/track/5AM8R0UF2OYsO1yjiy5khg?si=fcf6552f546a4407,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,鬱ソング
Yifan,Beth Gibbons,year,https://open.spotify.com/track/4BN6fOSb0UvVxt3LbcYWKN?si=9df50335402449ac,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,鬱ソング
Yifan,Beth Gibbons,show,https://open.spotify.com/track/0GEMAW2jerbxDFl5R8h12M?si=676f59d6e9b942f7,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,鬱ソング
Yifan,Beth Gibbons,tom,https://open.spotify.com/track/1BAiFIrzp1umGBo8H2WEfy?si=1c00071ace2a431d,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,鬱ソング
Yifan,Beth Gibbons,myster,https://open.spotify.com/track/7gyV3wYtZoJIrSdzNLjYvj?si=ccefd84cd7bf41a0,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,鬱ソング
Yifan,Beth Gibbons,mother,https://open.spotify.com/track/346SJSEbB6pNZMpwovxDiu?si=db84e632bdcf4c8e,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,家族ソング
Yifan,Sonic Youth,pattern,https://open.spotify.com/track/1uWk8vnCYaoZQvCW8KYepP?si=e06f491749254b96,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,その他
Yifan,Sonic Youth,dream,https://open.spotify.com/track/5iOPBZk9knoiw9BGnTHzq4?si=3cfa3ce83120468f,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,その他
Yifan,Sonic Youth,stones,https://open.spotify.com/track/1hVhfJiDdR3KHAVW97Dp6k?si=b6552c9380fd428f,Happy/Excited,Happy/Excited,Relax/Chill,Relax/Chill,その他
Yifan,Sonic Youth,Inc,https://open.spotify.com/track/6bGnkppjxJJY4HeOQ5dheD?si=2a9a4a4e4a4944b7,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Relax/Chill,その他
Yifan,Astrix,jungle,https://open.spotify.com/track/5gXKDmafOQ8i4lYr62wxTk?si=972fd32675eb4d18,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,パーティーソング
Yifan,Astrix,uni,https://open.spotify.com/track/60BlJffpclqV9gdFbgu6ig?si=8d28651c2e9d446e,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,パーティーソング
Yifan,Astrix,ad,https://open.spotify.com/track/2fovN88nMPZhATtCNeNaqM?si=7b7c2b7fe7224da3,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
Yifan,Astrix,high,https://open.spotify.com/track/2aXisW2ZScuxitKImCxk3A?si=8216075b853140ab,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,パーティーソング
Yifan,Astrix,Pra,https://open.spotify.com/track/701Y3VMDHgqWXMTKXn6Yyh?si=7732a7d261e04ebb,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,パーティーソング
Yifan,Astrix,agate,https://open.spotify.com/track/5bFhLxqmSghToSzZGMeh1I?si=94dc81ad31914122,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,パーティーソング
Yifan,Astrix,shamanic,https://open.spotify.com/track/0gFQ0zR40UTHeRCg02cJMK?si=427e57b5ee0c478d,Happy/Excited,Happy/Excited,Relax/Chill,Relax/Chill,パーティーソング
Yifan,Astrix,alien,https://open.spotify.com/track/63mwx3CdqgxPOEOGXvhuZN?si=48894f7babce4aec,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,パーティーソング
Yifan,Astrix,sap,https://open.spotify.com/track/11g7rLWja8uCfV19Ve2Ypz?si=64c7581b53bd401f,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
Yifan,Astrix,gene,https://open.spotify.com/track/0cyAQoQXbdsGtZRcqW6NsC?si=b67cca22072c4923,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,パーティーソング
Yifan,Astrix,bungee,https://open.spotify.com/track/0ubjNus6ut2BifiXQI7ZJD?si=a0bc90d23d5a4ec9,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
Yifan,Astrix,sahara,https://open.spotify.com/track/7m0xP08bcvcHFVnlEzOhBG?si=40ddaeea8129476c,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,パーティーソング
Yifan,Wu Zhuoling,road,https://open.spotify.com/track/0QWKPjloqBHu0208NJuPg6?si=a8ec5bfc998246b7,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,パーティーソング
Yifan,Wu Zhuoling,midni,https://open.spotify.com/track/46IDbwrts6bqqNMtBMPtBu?si=c86c8bf37e054ce8,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,パーティーソング
